id,sentence1,sentence2,classification,Text_Cleaned1,Text_Cleaned2,lemmatized_text1,lemmatized_text2,cosine_similarity_score,overlap_score,overlap2_score,cosine/length_ratio,jaccard_similarity_score,lemma_jaccard_score,overall_sim_score,overall_similarity_path_semantic,overall_similarity_wup_semantic,overall_similarity_combined_semantic,jaccard_distance_bigrams,cosine_similarity_bigrams,bigram_similarity,jaccard_distance_trigrams,cosine_similarity_trigrams,trigram_similarity,jaccard_distance_quadgrams,cosine_similarity_quadgrams,quadgram_similarity
train_id_7,"It will cost about $ 20,000 per eight-week course of treatment , comparable to other injected cancer therapies , a spokeswoman said .","It will cost about $ 20,000 per average course of treatment -16 to 17 weeks .",0,"['It', 'cost', '20,000', 'per', 'eight-week', 'course', 'treatment', 'comparable', 'injected', 'cancer', 'therapies', 'spokeswoman', 'said']","['It', 'cost', '20,000', 'per', 'average', 'course', 'treatment', '-16', '17', 'weeks']","['cost', '20,000', 'per', 'eight-week', 'course', 'treatment', 'comparable', 'injected', 'cancer', 'therapy', 'spokeswoman', 'say']","['cost', '20,000', 'per', 'average', 'course', 'treatment', '-16', '17', 'week']",0.5262348115842176,0.8615384615384616,0.7391304347826086,0.40479600891093664,0.35294117647058826,0.3125,0.5141663985925392,0.44570130275144376,0.3766663239245428,0.4073284318047708,0.1875,0.31980107453341566,0.15789473684210525,0.0625,0.11952286093343936,0.058823529411764705,0.0,0.0,0.0
train_id_8,""" We see the First Amendment to protect religious liberty , not crush religious liberty , "" said Patrick Mahoney , director of the Christian Defense Coalition .",""" We put the call out , "" said the Rev. Patrick J. Mahoney , director of the Christian Defense Coalition .",0,"['``', 'We', 'see', 'First', 'Amendment', 'protect', 'religious', 'liberty', 'crush', 'religious', 'liberty', '``', 'said', 'Patrick', 'Mahoney', 'director', 'Christian', 'Defense', 'Coalition']","['``', 'We', 'put', 'call', '``', 'said', 'Rev', 'Patrick', 'J.', 'Mahoney', 'director', 'Christian', 'Defense', 'Coalition']","['``', 'see', 'first', 'amendment', 'protect', 'religious', 'liberty', 'crush', 'religious', 'liberty', '``', 'say', 'patrick', 'mahoney', 'director', 'christian', 'defense', 'coalition']","['``', 'put', 'call', '``', 'say', 'rev', 'patrick', 'j.', 'mahoney', 'director', 'christian', 'defense', 'coalition']",0.6,0.8120300751879699,0.696969696969697,0.4421052631578947,0.45,0.42105263157894735,0.5903508771929825,0.492262966192266,0.3649541253236074,0.4193066169614104,0.21739130434782608,0.33113308926626095,0.17857142857142858,0.125,0.22613350843332272,0.1111111111111111,0.08695652173913043,0.1632993161855452,0.08
train_id_29,"Hispanics , the fastest growing ethnic group in the US , have overtaken blacks to become the largest minority in the US , according to newly released government figures .","Hispanics have officially overtaken African Americans as the largest minority group in the US , according to a report released by the US Census Bureau .",0,"['Hispanics', 'fastest', 'growing', 'ethnic', 'group', 'US', 'overtaken', 'blacks', 'become', 'largest', 'minority', 'US', 'according', 'newly', 'released', 'government', 'figures']","['Hispanics', 'officially', 'overtaken', 'African', 'Americans', 'largest', 'minority', 'group', 'US', 'according', 'report', 'released', 'US', 'Census', 'Bureau']","['hispanic', 'fast', 'grow', 'ethnic', 'group', 'u', 'overtake', 'black', 'become', 'large', 'minority', 'u', 'accord', 'newly', 'release', 'government', 'figure']","['hispanic', 'officially', 'overtake', 'african', 'american', 'large', 'minority', 'group', 'u', 'accord', 'report', 'release', 'u', 'census', 'bureau']",0.6120563724821229,0.9294117647058824,0.71875,0.5400497404254025,0.36363636363636365,0.36363636363636365,0.5391788472640596,0.5739920269126866,0.5290606373134004,0.5543000439324632,0.1111111111111111,0.2004459314343183,0.1,0.0,0.0,0.0,0.0,0.0,0.0
train_id_35,""" It is about a third of what I owe in the world , "" he told reporters .","It ain 't coming to me , but it 's only about a third of what I owe in the world .",0,"['``', 'It', 'third', 'I', 'owe', 'world', '``', 'told', 'reporters']","['It', ""'t"", 'coming', ""'s"", 'third', 'I', 'owe', 'world']","['``', 'third', 'owe', 'world', '``', 'tell', 'reporter']","[""'t"", 'come', ""'s"", 'third', 'owe', 'world']",0.5330017908890261,0.9305555555555556,0.7058823529411764,0.4737793696791343,0.45454545454545453,0.3333333333333333,0.5824273371596782,0.4635494753021248,0.446845849692479,0.43212554164654676,0.2222222222222222,0.3651483716701107,0.18181818181818182,0.125,0.22360679774997896,0.1111111111111111,0.0,0.0,0.0
train_id_42,The Securities and Exchange Commission brought a related civil case on Thursday .,The Securities and Exchange Commission filed a civil fraud suit against the teen in Boston .,0,"['The', 'Securities', 'Exchange', 'Commission', 'brought', 'related', 'civil', 'case', 'Thursday']","['The', 'Securities', 'Exchange', 'Commission', 'filed', 'civil', 'fraud', 'suit', 'teen', 'Boston']","['security', 'exchange', 'commission', 'bring', 'relate', 'civil', 'case', 'thursday']","['security', 'exchange', 'commission', 'file', 'civil', 'fraud', 'suit', 'teen', 'boston']",0.5270462766947299,0.9444444444444444,0.736842105263158,0.47434164902525694,0.35714285714285715,0.3076923076923077,0.5378394876285596,0.46871355364871764,0.4386741781566229,0.45584656312849975,0.15384615384615385,0.26726124191242434,0.13333333333333333,0.08333333333333333,0.1543033499620919,0.07692307692307693,0.0,0.0,0.0
train_id_43,"Spot gold was quoted at $ 367.90 / 368.60 an ounce at 1000 GMT , having marched up to $ 369.50 -- a level not seen since February 10 .","Spot gold was quoted at $ 358.65 / 359.15 an ounce at 0500 GMT , having darted as high as $ 359.25 -- a level not seen since February 25 .",0,"['Spot', 'gold', 'quoted', '367.90', '368.60', 'ounce', '1000', 'GMT', 'marched', '369.50', '--', 'level', 'seen', 'since', 'February', '10']","['Spot', 'gold', 'quoted', '358.65', '359.15', 'ounce', '0500', 'GMT', 'darted', 'high', '359.25', '--', 'level', 'seen', 'since', 'February', '25']","['spot', 'gold', 'quote', '367.90', '368.60', 'ounce', '1000', 'gmt', 'march', '369.50', '--', 'level', 'see', 'since', 'february', '10']","['spot', 'gold', 'quote', '358.65', '359.15', 'ounce', '0500', 'gmt', 'dart', 'high', '359.25', '--', 'level', 'see', 'since', 'february', '25']",0.6063390625908325,0.9632352941176471,0.696969696969697,0.5706720589090188,0.43478260869565216,0.43478260869565216,0.6132359058455453,0.5203643994988321,0.5052050065276796,0.501461057875161,0.24,0.3872983346207417,0.1935483870967742,0.16,0.2760262237369417,0.13793103448275862,0.08,0.14824986333222026,0.07407407407407407
train_id_76,"Bulger 's brother is now on the agency 's ' '10 Most Wanted ' ' list , sought in connection with 21 murders .","Bulger 's brother , a former FBI informant , is now on the law enforcement agency 's "" 10 Most Wanted "" list .",0,"['Bulger', ""'s"", 'brother', 'agency', ""'s"", ""'10"", 'Most', 'Wanted', 'list', 'sought', 'connection', '21', 'murders']","['Bulger', ""'s"", 'brother', 'former', 'FBI', 'informant', 'law', 'enforcement', 'agency', ""'s"", '``', '10', 'Most', 'Wanted', '``', 'list']","['bulger', ""'s"", 'brother', 'agency', ""'s"", ""'10"", 'wanted', 'list', 'seek', 'connection', '21', 'murder']","['bulger', ""'s"", 'brother', 'former', 'fbi', 'informant', 'law', 'enforcement', 'agency', ""'s"", '``', '10', 'want', '``', 'list']",0.5773502691896257,0.8846153846153846,0.7241379310344828,0.46909709371657093,0.3684210526315789,0.2631578947368421,0.5184464593572741,0.3918179725504211,0.3785856798186168,0.36821456398300273,0.13636363636363635,0.24174688920761409,0.12,0.045454545454545456,0.08770580193070293,0.043478260869565216,0.0,0.0,0.0
train_id_85,"Think Dynamics , which is based in Toronto , will become part of IBM 's Software Group .","The 36 employees at Think Dynamics will remain in Toronto and become IBM employees , Crowe said .",0,"['Think', 'Dynamics', 'based', 'Toronto', 'become', 'part', 'IBM', ""'s"", 'Software', 'Group']","['The', '36', 'employees', 'Think', 'Dynamics', 'remain', 'Toronto', 'become', 'IBM', 'employees', 'Crowe', 'said']","['think', 'dynamic', 'base', 'toronto', 'become', 'part', 'ibm', ""'s"", 'software', 'group']","['36', 'employee', 'think', 'dynamic', 'remain', 'toronto', 'become', 'ibm', 'employee', 'crowe', 'say']",0.4225771273642583,0.9166666666666667,0.7727272727272727,0.3521476061368819,0.3125,0.3333333333333333,0.5251676711782338,0.3700922333405557,0.4502416331973791,0.4117871614262372,0.11764705882352941,0.21081851067789195,0.10526315789473684,0.0,0.0,0.0,0.0,0.0,0.0
train_id_109,"A 32-count indictment "" strikes at one of the very top targets in the drug trafficking world , "" U.S. Attorney Marcos Jimenez said .","The newly unsealed 32-count indictment alleges money laundering and conspiracy and "" strikes at one of the very top targets in the drug-trafficking world , "" Jiménez said .",0,"['A', '32-count', 'indictment', '``', 'strikes', 'one', 'top', 'targets', 'drug', 'trafficking', 'world', '``', 'U.S.', 'Attorney', 'Marcos', 'Jimenez', 'said']","['The', 'newly', 'unsealed', '32-count', 'indictment', 'alleges', 'money', 'laundering', 'conspiracy', '``', 'strikes', 'one', 'top', 'targets', 'drug-trafficking', 'world', '``', 'Jiménez', 'said']","['32-count', 'indictment', '``', 'strike', 'one', 'top', 'target', 'drug', 'trafficking', 'world', '``', 'u.s.', 'attorney', 'marcos', 'jimenez', 'say']","['newly', 'unsealed', '32-count', 'indictment', 'allege', 'money', 'laundering', 'conspiracy', '``', 'strike', 'one', 'top', 'target', 'drug-trafficking', 'world', '``', 'jiménez', 'say']",0.6007514091861106,0.9380804953560371,0.7222222222222222,0.5375144187454673,0.36,0.391304347826087,0.5508104872017509,0.47290687350820265,0.48975778395772596,0.4766211435129252,0.23076923076923078,0.37573457465108967,0.1875,0.1111111111111111,0.2004459314343183,0.1,0.07692307692307693,0.1432229748078866,0.07142857142857142
train_id_138,"The technology-laced Nasdaq Composite Index .IXIC gained 21.35 points , or 1.33 percent , to 1,624.91 .","The tech-laced Nasdaq Composite Index .IXIC eased 5.16 points , or 0.32 percent , at 1,590.75 , breaking a six-day string of gains .",0,"['The', 'technology-laced', 'Nasdaq', 'Composite', 'Index', '.IXIC', 'gained', '21.35', 'points', '1.33', 'percent', '1,624.91']","['The', 'tech-laced', 'Nasdaq', 'Composite', 'Index', '.IXIC', 'eased', '5.16', 'points', '0.32', 'percent', '1,590.75', 'breaking', 'six-day', 'string', 'gains']","['technology-laced', 'nasdaq', 'composite', 'index', '.ixic', 'gain', '21.35', 'point', '1.33', 'percent', '1,624.91']","['tech-laced', 'nasdaq', 'composite', 'index', '.ixic', 'ease', '5.16', 'point', '0.32', 'percent', '1,590.75', 'break', 'six-day', 'string', 'gain']",0.5051814855409226,0.8541666666666666,0.75,0.37888611415569196,0.3333333333333333,0.3684210526315789,0.5225932632497837,0.3863506283773434,0.47142836941273414,0.433084922651684,0.14285714285714285,0.253546276418555,0.125,0.1,0.18490006540840973,0.09090909090909091,0.05263157894736842,0.10206207261596574,0.05
